Player,Team,Minutes,NpGI90,xA90,NPxG90_xA90,xGChain90,xGBuildup90
Youri Tielemans,Aston Villa,1069,0.33676333021515437,0.28,0.32,0.74,0.6
Kenny Tete,Fulham,1038,0.08670520231213873,0.01,0.12,0.38,0.33
Richarlison,Tottenham,78,1.1538461538461537,0.79,1.16,0.79,0.0
Philip Billing,Bournemouth,15,0.0,0.0,0.0,0.22,0.22
Jan Bednarek,Southampton,985,0.0,0.02,0.02,0.33,0.33
Charlie Taylor,Southampton,204,0.0,0.02,0.02,0.28,0.26
Lewis Dunk,Brighton,710,0.0,0.05,0.09,0.45,0.45
Ederson,Manchester City,1080,0.08333333333333333,0.02,0.02,0.24,0.24
Phil Foden,Manchester City,533,0.16885553470919323,0.44,0.65,0.79,0.39
Jacob Murphy,Newcastle United,511,0.3522504892367906,0.2,0.27,0.38,0.13
Victor Lindelöf,Manchester United,49,0.0,0.09,0.09,0.19,0.1
Orel Mangala,Everton,462,0.0,0.04,0.1,0.34,0.26
Niclas Füllkrug,West Ham,58,0.0,0.0,0.4,0.57,0.17
Will Hughes,Crystal Palace,549,0.0,0.06,0.11,0.19,0.13
Daichi Kamada,Crystal Palace,627,0.0,0.08,0.16,0.38,0.28
Timothy Castagne,Fulham,42,0.0,0.0,0.17,0.95,0.92
Nélson Semedo,Wolverhampton Wanderers,876,0.2054794520547945,0.1,0.15,0.27,0.15
Nikola Milenkovic,Nottingham Forest,990,0.09090909090909091,0.05,0.22,0.22,0.15
Enes Ünal,Bournemouth,141,0.6382978723404256,0.27,0.74,0.66,0.2
Pau Torres,Aston Villa,1080,0.0,0.0,0.01,0.41,0.41
Boubakary Soumare,Leicester,222,0.0,0.0,0.03,0.74,0.71
Joachim Andersen,"Crystal Palace, Fulham",788,0.0,0.01,0.04,0.41,0.41
Jadon Sancho,Chelsea,326,0.8282208588957055,0.33,0.36,0.67,0.34
Hamza Choudhury,Leicester,11,0.0,0.0,0.0,0.0,0.0
Ben Johnson,Ipswich,398,0.22613065326633167,0.12,0.12,0.16,0.04
Eddie Nketiah,Crystal Palace,489,0.0,0.09,0.26,0.49,0.3
Manuel Akanji,Manchester City,873,0.0,0.03,0.05,0.81,0.8
Joe Willock,Newcastle United,361,0.24930747922437674,0.36,0.49,0.62,0.24
Konstantinos Mavropanos,West Ham,681,0.0,0.0,0.03,0.21,0.2
Jean-Clair Todibo,West Ham,555,0.0,0.0,0.02,0.18,0.18
Bobby Reid,Leicester,169,0.0,0.05,0.09,0.34,0.31
Tom Cairney,Fulham,126,0.0,0.73,0.73,1.83,1.83
Willy Boly,Nottingham Forest,91,0.0,0.0,0.08,0.09,0.09
Conor Coady,Leicester,4,0.0,0.0,0.0,0.0,0.0
Matt Doherty,Wolverhampton Wanderers,206,0.0,0.04,0.08,0.44,0.4
Axel Disasi,Chelsea,93,0.0,0.0,0.0,0.0,0.0
William Saliba,Arsenal,929,0.0,0.05,0.05,0.46,0.46
Matz Sels,Nottingham Forest,1080,0.0,0.0,0.0,0.06,0.06
Arijanet Muric,Ipswich,990,0.0,0.0,0.0,0.14,0.14
Mark Flekken,Brentford,1080,0.0,0.0,0.0,0.23,0.23
Sean Longstaff,Newcastle United,568,0.0,0.01,0.06,0.25,0.22
Marc Cucurella,Chelsea,841,0.0,0.02,0.03,0.48,0.46
Mathias Jensen,Brentford,436,0.20642201834862386,0.17,0.22,0.48,0.27
Oliver Skipp,Leicester,483,0.0,0.03,0.04,0.18,0.14
Jason Steele,Brighton,180,0.0,0.0,0.0,0.2,0.2
Benoit Badiashile Mukinayi,Chelsea,119,0.0,0.0,0.0,0.29,0.29
Diogo Dalot,Manchester United,1049,0.08579599618684461,0.12,0.19,0.46,0.35
Ben White,Arsenal,681,0.13215859030837004,0.05,0.07,0.27,0.26
Max Kilman,West Ham,1080,0.08333333333333333,0.03,0.12,0.22,0.19
Caleb Okoli,Leicester,720,0.0,0.0,0.04,0.27,0.27
Tyler Adams,Bournemouth,167,0.0,0.05,0.06,0.34,0.27
Dan Burn,Newcastle United,990,0.0,0.01,0.08,0.35,0.35
Miguel Almirón,Newcastle United,103,0.0,0.1,0.36,0.38,0.12
James Garner,Everton,251,0.0,0.01,0.03,0.06,0.05
Harvey Elliott,Liverpool,5,0.0,0.0,0.0,0.0,0.0
Mark Travers,Bournemouth,270,0.0,0.0,0.0,0.17,0.17
Wesley Fofana,Chelsea,959,0.0,0.05,0.06,0.43,0.39
Max Aarons,Bournemouth,10,0.0,0.0,0.0,8.68,8.68
Adam Webster,Brighton,83,0.0,0.0,0.0,0.58,0.58
Dean Henderson,Crystal Palace,1080,0.0,0.0,0.0,0.05,0.05
John McGinn,Aston Villa,645,0.13953488372093023,0.19,0.36,0.6,0.34
Mason Mount,Manchester United,156,0.0,0.06,0.35,0.63,0.29
Taiwo Awoniyi,Nottingham Forest,156,0.0,0.0,0.32,0.42,0.09
Caoimhin Kelleher,Liverpool,540,0.0,0.0,0.0,0.16,0.16
Takehiro Tomiyasu,Arsenal,3,0.0,0.0,5.01,0.0,0.0
Igor Julio,Brighton,557,0.0,0.0,0.01,0.52,0.52
Sandro Tonali,Newcastle United,440,0.20454545454545456,0.05,0.16,0.46,0.36
Billy Gilmour,Brighton,94,0.0,0.0,0.08,1.13,1.13
Reece James,Chelsea,246,0.0,0.0,0.0,0.17,0.17
Lloyd Kelly,Newcastle United,301,0.29900332225913623,0.11,0.17,0.26,0.15
Neco Williams,Nottingham Forest,366,0.0,0.07,0.31,0.4,0.13
Tyrick Mitchell,Crystal Palace,1038,0.08670520231213873,0.2,0.22,0.46,0.31
William Smallbone,Southampton,244,0.0,0.08,0.17,0.47,0.43
Tariq Lamptey,Brighton,6,15.0,1.71,1.71,1.71,0.0
Nicolás Domínguez,Nottingham Forest,583,0.0,0.01,0.16,0.28,0.22
Guido Rodríguez,West Ham,821,0.0,0.0,0.01,0.23,0.22
Sander Berge,Fulham,521,0.0,0.06,0.06,0.31,0.26
Daniel Podence,Wolverhampton Wanderers,36,0.0,0.0,0.11,0.11,0.0
Bruno Guimarães,Newcastle United,1072,0.08395522388059702,0.1,0.15,0.33,0.22
